Y,STATEQ,CENSUSDIV,CENSUSREG,A2,A3,A3A,A3B,A4_1,A4_2,A4_3,A4_4_2015,A4_5,A4_6,A4_99,A4A,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM32,AM22,X3,X4,A9,A10,A10A,AM7_2012,A21_2015,A22_2015,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J32,J33_1,B1,B2,B4,B31,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,EA_1,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G25_1,G25_2,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3,time,M6new,M7new,M8new,M9new,M10new,M31new,literacy,M6right,M7right,M8right,M9right,M10right,M31right,logA3A,logA3Asq,J2sq
1.073753704,6,8,4,80528,1,32,2,1,0,0,0,0,0,0,1,6,1,2,1,1,7,3,NA,NA,NA,3,1,NA,2,2,1,NA,NA,NA,1,8,7,1,3,1,2,1,NA,2,1,5,4,1,1,2,3,1,3,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,1,2,1,2,2,2,7,6,6,2,2,2,1,NA,1,3,2,2,1,2,0.39935089,1.65241708,0.97506301,0,>$102,Less,Fall,TRUE,FALSE,5-Feb,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.465735903,12.01132535,49
0.078941816,47,5,3,22407,2,54,10,1,0,0,0,0,0,0,1,4,1,2,1,2,7,3,NA,NA,NA,3,1,NA,4,2,1,NA,2,NA,1,6,8,2,3,1,1,NA,NA,2,4,4,4,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,NA,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,5,1,2,2,2,5,5,5,3,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1.18958148,1.28924971,1.05272757,0,>$102,DK,DK,TRUE,DK,DK,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3.988984047,15.91199372,64
-1.707194338,29,8,4,89074,2,57,11,0,0,0,1,0,0,0,4,4,1,2,1,2,6,3,NA,NA,NA,2,1,NA,7,2,1,NA,2,NA,3,2,5,2,2,2,2,1,NA,1,4,3,7,1,1,2,3,1,2,1,2,2,2,2,2,1,1,2,1,2,3,2,1,1,2,2,1,NA,2,1,0,0,1,0,0,0,0,0,1,2,1,1,1,2,1,2,7,1,1,1,1,5,5,5,3,NA,NA,NA,NA,1,3,2,3,1,NA,0.62873682,1.33175861,1.26648628,0,>$102,Less,Fall,TRUE,DK,10-May,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4.043051268,16.34626355,25
0.151296381,11,5,3,30349,2,32,8,1,0,0,0,0,0,0,1,6,1,1,1,3,8,1,NA,NA,NA,1,2,1,2,2,1,2,NA,NA,2,8,9,3,3,1,1,1,NA,1,1,5,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,3,1,4,3,4,3,1,6,1,2,1,1,6,5,6,1,NA,NA,NA,NA,2,2,2,2,1,1,0.72641514,1.09375766,0.78930445,0,=$102,Exactly,Fall,TRUE,TRUE,5-Feb,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3.465735903,12.01132535,81
0.151296381,11,5,3,30324,1,33,2,1,0,0,0,0,0,0,1,6,1,2,1,3,8,1,NA,NA,NA,1,2,1,2,2,1,6,NA,NA,1,8,8,1,3,1,1,1,NA,1,1,4,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,3,1,4,4,4,4,1,6,1,1,1,1,6,6,6,2,1,1,1,1,2,2,2,2,1,2,1.00475899,1.17926407,0.77682929,0,=$102,Exactly,Fall,TRUE,FALSE,5-Feb,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3.496507561,12.22556513,64
1.376722599,36,3,2,43612,1,33,2,1,0,0,0,0,0,0,1,7,1,2,1,2,7,3,NA,NA,NA,3,1,NA,2,2,1,NA,NA,NA,3,10,10,3,3,1,2,1,NA,2,1,5,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,3,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1,2,2,1,2,2,2,4,6,6,3,NA,NA,NA,NA,1,3,1,2,1,2,1.31543862,1.3911012,0.9283752,0,>$102,Less,Rise,TRUE,FALSE,5-Feb,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3.496507561,12.22556513,100
0.922269256,5,9,4,95448,1,70,6,1,0,0,0,0,0,0,1,7,1,2,1,1,7,2,4,2,4,3,1,NA,8,1,2,NA,NA,NA,1,7,5,1,3,1,1,NA,1,2,1,5,3,1,1,2,3,1,1,2,1,2,2,2,1,1,1,2,2,1,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,2,1,2,2,2,7,7,5,3,NA,NA,NA,NA,1,3,2,2,1,2,0.65579604,1.75812527,0.79616715,0,>$102,Less,Fall,TRUE,FALSE,5-Feb,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.248495242,18.04971182,25
0.151296381,33,2,1,12831,2,28,8,1,0,0,0,0,0,0,1,6,2,2,2,1,3,3,NA,NA,NA,NA,1,NA,2,2,1,NA,NA,NA,1,8,8,3,3,1,2,1,NA,2,2,4,6,1,2,2,3,1,1,1,NA,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,6,1,NA,2,2,7,5,4,3,NA,NA,NA,NA,NA,2,3,NA,2,1,0.70895965,0.82301452,0.82323987,0,DK,Exactly,Same,FALSE,TRUE,DK,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.33220451,11.1035869,64
1.60733693,39,2,1,16505,2,52,10,1,0,0,0,0,0,0,1,6,1,2,1,1,8,3,NA,NA,NA,3,1,NA,4,4,1,NA,NA,NA,2,10,7,3,3,1,2,1,NA,2,1,5,1,1,2,2,2,1,3,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,1,1,2,2,2,7,5,3,1,NA,NA,NA,NA,2,3,2,3,1,2,1.47137468,1.00464351,0.89687139,0,=$102,Less,Fall,TRUE,FALSE,10-May,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3.951243719,15.61232692,49
-1.365772908,15,3,2,46235,1,36,3,1,0,0,0,0,0,0,1,6,1,2,1,1,6,1,NA,NA,NA,1,2,1,2,2,1,2,NA,NA,1,9,9,2,1,1,1,1,NA,2,1,5,7,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,4,5,5,4,1,7,1,2,1,1,7,7,7,3,NA,NA,NA,NA,1,2,1,3,1,1,1.20399897,0.69786474,0.79876572,0,>$102,Exactly,Rise,TRUE,TRUE,10-May,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3.583518938,12.84160798,81
